,"Proportion of crows",,,"Mosquitoes per crow",,,
Time,Susceptible,Infectious,Dead,Larvae,Susceptible,Exposed,Infectious
0,1,0,0,,30,0.000,0.001
0.1,1.000,0.000,0.000,12.794,30.000,0.000,0.001
0.2,1.000,0.000,0.000,12.794,30.000,0.000,0.001
0.3,1.000,0.000,0.000,12.795,30.000,0.000,0.001
0.4,1.000,0.000,0.000,12.795,30.000,0.000,0.001
0.5,1.000,0.000,0.000,12.795,30.000,0.000,0.001
0.6,1.000,0.000,0.000,12.795,30.000,0.000,0.001
0.7,1.000,0.000,0.000,12.795,30.000,0.000,0.001
0.8,0.999,0.000,0.000,12.795,30.000,0.000,0.001
0.9,0.999,0.000,0.000,12.795,29.999,0.001,0.001
1,0.999,0.000,0.000,12.795,29.999,0.001,0.001
1.1,0.999,0.000,0.000,12.795,29.999,0.001,0.001
1.2,0.999,0.000,0.000,12.795,29.999,0.001,0.001
1.3,0.999,0.000,0.000,12.795,29.999,0.001,0.001
1.4,0.999,0.000,0.001,12.795,29.999,0.001,0.001
1.5,0.999,0.001,0.001,12.795,29.999,0.001,0.001
1.6,0.999,0.001,0.001,12.795,29.999,0.001,0.001
1.7,0.999,0.001,0.001,12.795,29.998,0.001,0.001
1.8,0.999,0.001,0.001,12.795,29.998,0.001,0.001
1.9,0.998,0.001,0.001,12.795,29.998,0.001,0.002
2,0.998,0.001,0.001,12.795,29.998,0.001,0.002
2.1,0.998,0.001,0.001,12.795,29.998,0.002,0.002
2.2,0.998,0.001,0.001,12.795,29.998,0.002,0.002
2.3,0.998,0.001,0.001,12.795,29.997,0.002,0.002
2.4,0.998,0.001,0.001,12.795,29.997,0.002,0.002
2.5,0.998,0.001,0.002,12.795,29.997,0.002,0.002
2.6,0.997,0.001,0.002,12.795,29.997,0.002,0.002
2.7,0.997,0.001,0.002,12.795,29.996,0.002,0.003
2.8,0.997,0.001,0.002,12.795,29.996,0.002,0.003
2.9,0.997,0.001,0.002,12.795,29.996,0.002,0.003
3,0.997,0.001,0.002,12.795,29.995,0.003,0.003
3.1,0.996,0.001,0.002,12.795,29.995,0.003,0.003
3.2,0.996,0.001,0.003,12.795,29.995,0.003,0.003
3.3,0.996,0.001,0.003,12.795,29.994,0.003,0.004
3.4,0.996,0.001,0.003,12.795,29.994,0.003,0.004
3.5,0.995,0.002,0.003,12.795,29.994,0.003,0.004
3.6,0.995,0.002,0.003,12.795,29.993,0.004,0.004
3.7,0.995,0.002,0.004,12.795,29.993,0.004,0.004
3.8,0.994,0.002,0.004,12.795,29.992,0.004,0.005
3.9,0.994,0.002,0.004,12.795,29.992,0.004,0.005
4,0.994,0.002,0.004,12.795,29.991,0.005,0.005
4.1,0.993,0.002,0.005,12.795,29.991,0.005,0.006
4.2,0.993,0.002,0.005,12.795,29.990,0.005,0.006
4.3,0.992,0.002,0.005,12.795,29.989,0.005,0.006
4.4,0.992,0.003,0.006,12.795,29.989,0.006,0.007
4.5,0.991,0.003,0.006,12.795,29.988,0.006,0.007
4.6,0.991,0.003,0.006,12.795,29.987,0.006,0.008
4.7,0.990,0.003,0.007,12.795,29.986,0.007,0.008
4.8,0.990,0.003,0.007,12.795,29.985,0.007,0.008
4.9,0.989,0.003,0.008,12.795,29.984,0.008,0.009
5,0.988,0.004,0.008,12.795,29.984,0.008,0.009
5.1,0.988,0.004,0.009,12.795,29.982,0.008,0.010
5.2,0.987,0.004,0.009,12.795,29.981,0.009,0.011
5.3,0.986,0.004,0.010,12.795,29.980,0.010,0.011
5.4,0.985,0.005,0.010,12.795,29.979,0.010,0.012
5.5,0.984,0.005,0.011,12.795,29.978,0.011,0.013
5.6,0.983,0.005,0.012,12.795,29.976,0.011,0.013
5.7,0.982,0.005,0.012,12.795,29.975,0.012,0.014
5.8,0.981,0.006,0.013,12.795,29.973,0.013,0.015
5.9,0.980,0.006,0.014,12.795,29.972,0.013,0.016
6,0.979,0.006,0.015,12.795,29.970,0.014,0.017
6.1,0.978,0.007,0.016,12.795,29.968,0.015,0.018
6.2,0.976,0.007,0.016,12.795,29.966,0.016,0.019
6.3,0.975,0.008,0.017,12.795,29.964,0.017,0.020
6.4,0.973,0.008,0.019,12.795,29.962,0.018,0.021
6.5,0.972,0.008,0.020,12.795,29.960,0.019,0.022
6.6,0.970,0.009,0.021,12.795,29.957,0.020,0.024
6.7,0.968,0.009,0.022,12.795,29.955,0.021,0.025
6.8,0.967,0.010,0.023,12.795,29.952,0.022,0.026
6.9,0.965,0.011,0.025,12.795,29.949,0.024,0.028
7,0.963,0.011,0.026,12.795,29.946,0.025,0.030
7.1,0.960,0.012,0.028,12.795,29.943,0.026,0.031
7.2,0.958,0.013,0.029,12.795,29.940,0.028,0.033
7.3,0.956,0.013,0.031,12.795,29.936,0.029,0.035
7.4,0.953,0.014,0.033,12.795,29.933,0.031,0.037
7.5,0.950,0.015,0.035,12.795,29.929,0.033,0.039
7.6,0.947,0.016,0.037,12.795,29.925,0.035,0.042
7.7,0.944,0.016,0.039,12.795,29.920,0.037,0.044
7.8,0.941,0.017,0.041,12.795,29.916,0.039,0.046
7.9,0.938,0.018,0.044,12.795,29.911,0.041,0.049
8,0.934,0.019,0.046,12.795,29.906,0.043,0.052
8.1,0.931,0.020,0.049,12.795,29.900,0.046,0.055
8.2,0.927,0.021,0.052,12.795,29.895,0.048,0.058
8.3,0.923,0.023,0.055,12.795,29.889,0.051,0.061
8.4,0.918,0.024,0.058,12.795,29.883,0.054,0.065
8.5,0.914,0.025,0.061,12.795,29.876,0.056,0.069
8.6,0.909,0.026,0.065,12.795,29.869,0.059,0.072
8.7,0.904,0.028,0.068,12.795,29.862,0.063,0.076
8.8,0.899,0.029,0.072,12.795,29.854,0.066,0.081
8.9,0.893,0.031,0.076,12.795,29.846,0.070,0.085
9,0.887,0.032,0.080,12.795,29.838,0.073,0.090
9.1,0.881,0.034,0.085,12.795,29.829,0.077,0.095
9.2,0.875,0.036,0.090,12.795,29.820,0.081,0.100
9.3,0.868,0.037,0.095,12.795,29.810,0.085,0.106
