sm0,0.001(T14)
0.0,0.9973
0.1,0.9973
0.2,0.9972
0.3,0.9972
0.4,0.9971
0.5,0.9971
0.6,0.9970
0.7,0.9970
0.8,0.9969
0.9,0.9968
1.0,0.9968
1.1,0.9967
1.2,0.9966
1.3,0.9966
1.4,0.9965
1.5,0.9964
1.6,0.9963
1.7,0.9963
1.8,0.9962
1.9,0.9961
2.0,0.9960
2.1,0.9959
2.2,0.9958
2.3,0.9957
2.4,0.9957
2.5,0.9956
2.6,0.9955
2.7,0.9954
2.8,0.9952
2.9,0.9951
3.0,0.9950
3.1,0.9949
3.2,0.9948
3.3,0.9947
3.4,0.9945
3.5,0.9944
3.6,0.9943
3.7,0.9941
3.8,0.9940
3.9,0.9939
4.0,0.9937
4.1,0.9936
4.2,0.9934
4.3,0.9932
4.4,0.9931
4.5,0.9929
4.6,0.9927
4.7,0.9926
4.8,0.9924
4.9,0.9922
5.0,0.9920
5.1,0.9918
5.2,0.9916
5.3,0.9914
5.4,0.9912
5.5,0.9909
5.6,0.9907
5.7,0.9905
5.8,0.9902
5.9,0.9900
6.0,0.9897
6.1,0.9895
6.2,0.9892
6.3,0.9889
6.4,0.9887
6.5,0.9884
6.6,0.9881
6.7,0.9878
6.8,0.9875
6.9,0.9872
7.0,0.9868
7.1,0.9865
7.2,0.9861
7.3,0.9858
7.4,0.9854
7.5,0.9851
7.6,0.9847
7.7,0.9843
7.8,0.9839
7.9,0.9835
8.0,0.9831
8.1,0.9826
8.2,0.9822
8.3,0.9818
8.4,0.9813
8.5,0.9808
8.6,0.9803
8.7,0.9798
8.8,0.9793
8.9,0.9788
9.0,0.9783
9.1,0.9777
9.2,0.9772
9.3,0.9766
9.4,0.9760
9.5,0.9754
9.6,0.9748
9.7,0.9742
9.8,0.9735
9.9,0.9729
10.0,0.9722
10.1,0.9715
10.2,0.9708
10.3,0.9701
10.4,0.9694
10.5,0.9686
10.6,0.9679
10.7,0.9671
10.8,0.9663
10.9,0.9654
11.0,0.9646
11.1,0.9637
11.2,0.9629
11.3,0.9620
11.4,0.9611
11.5,0.9601
11.6,0.9592
11.7,0.9582
11.8,0.9572
11.9,0.9562
12.0,0.9551
12.1,0.9541
12.2,0.9530
12.3,0.9519
12.4,0.9507
12.5,0.9496
12.6,0.9484
12.7,0.9472
12.8,0.9460
12.9,0.9447
13.0,0.9434
13.1,0.9421
13.2,0.9408
13.3,0.9394
13.4,0.9380
13.5,0.9366
13.6,0.9352
13.7,0.9337
13.8,0.9322
13.9,0.9307
14.0,0.9291
14.1,0.9275
14.2,0.9259
14.3,0.9243
14.4,0.9226
14.5,0.9209
14.6,0.9191
14.7,0.9174
14.8,0.9156
14.9,0.9137
15.0,0.9118
15.1,0.9099
15.2,0.9080
15.3,0.9060
15.4,0.9041
15.5,0.9020
15.6,0.8999
15.7,0.8978
15.8,0.8956
15.9,0.8934
16.0,0.8912
16.1,0.8889
16.2,0.8866
16.3,0.8843
16.4,0.8819
16.5,0.8795
16.6,0.8770
16.7,0.8745
16.8,0.8720
16.9,0.8694
17.0,0.8668
17.1,0.8641
17.2,0.8614
17.3,0.8587
17.4,0.8559
17.5,0.8531
17.6,0.8502
17.7,0.8473
17.8,0.8444
17.9,0.8414
18.0,0.8383
18.1,0.8353
18.2,0.8323
18.3,0.8291
18.4,0.8259
18.5,0.8227
18.6,0.8194
18.7,0.8160
18.8,0.8127
18.9,0.8092
19.0,0.8058
19.1,0.8022
19.2,0.7987
19.3,0.7951
19.4,0.7914
19.5,0.7878
19.6,0.7840
19.7,0.7803
19.8,0.7764
19.9,0.7726
20.0,0.7687
20.1,0.7647
20.2,0.7607
20.3,0.7567
20.4,0.7526
20.5,0.7485
20.6,0.7443
20.7,0.7401
20.8,0.7359
20.9,0.7316
21.0,0.7272
21.1,0.7229
21.2,0.7185
21.3,0.7140
21.4,0.7096
21.5,0.7050
21.6,0.7005
21.7,0.6959
21.8,0.6912
21.9,0.6866
22.0,0.6819
22.1,0.6771
22.2,0.6723
22.3,0.6675
22.4,0.6627
22.5,0.6578
22.6,0.6530
22.7,0.6480
22.8,0.6430
22.9,0.6380
23.0,0.6330
23.1,0.6280
23.2,0.6229
23.3,0.6178
23.4,0.6126
23.5,0.6075
23.6,0.6023
23.7,0.5971
23.8,0.5918
23.9,0.5866
24.0,0.5813
24.1,0.5760
24.2,0.5706
24.3,0.5653
24.4,0.5600
24.5,0.5547
24.6,0.5493
24.7,0.5440
24.8,0.5385
24.9,0.5332
25.0,0.5278
25.1,0.5224
25.2,0.5170
25.3,0.5115
25.4,0.5061
25.5,0.5007
25.6,0.4952
25.7,0.4898
25.8,0.4844
25.9,0.4789
26.0,0.4735
26.1,0.4681
26.2,0.4627
26.3,0.4572
26.4,0.4518
26.5,0.4464
26.6,0.4410
26.7,0.4356
26.8,0.4303
26.9,0.4249
27.0,0.4194
27.1,0.4143
27.2,0.4089
27.3,0.4036
27.4,0.3983
27.5,0.3931
27.6,0.3878
27.7,0.3826
27.8,0.3774
27.9,0.3724
28.0,0.3672
28.1,0.3621
28.2,0.3571
28.3,0.3520
28.4,0.3470
28.5,0.3420
28.6,0.3370
28.7,0.3320
28.8,0.3271
28.9,0.3223
29.0,0.3174
29.1,0.3126
29.2,0.3078
29.3,0.3031
29.4,0.2983
29.5,0.2936
29.6,0.2890
29.7,0.2845
29.8,0.2801
29.9,0.2756
30.0,0.2711
30.1,0.2667
30.2,0.2623
30.3,0.2580
30.4,0.2537
30.5,0.2495
30.6,0.2453
30.7,0.2411
30.8,0.2370
30.9,0.2329
31.0,0.2289
31.1,0.2250
31.2,0.2210
31.3,0.2171
31.4,0.2133
